index_0,sample,value
0,99,-0.1293399808497303
1,99,-0.03077489412302399
2,99,-0.45473798779168884
3,99,0.2125179818966182
4,99,0.6380986078938293
5,99,-0.21481258641587958
0,100,-0.19015818943778373
1,100,-0.0815746841574706
2,100,-0.47009044052226134
3,100,0.21360020956780035
4,100,0.4665742909870069
5,100,-0.3257202653123271
0,101,-0.10357944371937094
1,101,-0.08423825394240236
2,101,-0.3872278690156652
3,101,0.16509568072670544
4,101,0.6157298775389599
5,101,-0.02666573468175576
0,102,-0.16633772544842335
1,102,-0.007816422469736017
2,102,-0.37725862927942044
3,102,0.21728509493643186
4,102,0.5175158676289837
5,102,-0.11755592127554124
0,103,-0.08972038510099539
1,103,0.05951363923935171
2,103,-0.42416595423625514
3,103,0.10645007340558144
4,103,0.5792378764186437
5,103,-0.17334708418354638
0,104,0.06594594761546557
1,104,0.054442343247494945
2,104,-0.23010169523564883
3,104,0.2568669374689051
4,104,0.625173513540201
5,104,-0.21845437532385398
0,105,-0.08125036957562988
1,105,0.0350695673895729
2,105,-0.31290273329850843
3,105,0.18356236867727097
4,105,0.5957563984498884
5,105,-0.10319735800571858
0,106,6.882978974370735E-5
1,106,0.013434938390915474
2,106,-0.28527022927304047
3,106,0.2542605678099099
4,106,0.6525155384650811
5,106,-0.10882751646087113
0,107,-0.06414192184252623
1,107,0.0383076037018015
2,107,-0.3630290293804037
3,107,0.27410688925668425
4,107,0.6551151254506274
5,107,-0.16881611653753298
0,108,-0.07272757631673228
1,108,-0.0672324858079951
2,108,-0.4373523186674611
3,108,0.21010968028171081
4,108,0.5544207402227956
5,108,-0.1803737660248954
0,109,-0.13026181836148604
1,109,0.05438954273467389
2,109,-0.39037192674618615
3,109,0.22705823411001233
4,109,0.6561192423297231
5,109,-0.09974169524612575
0,110,-0.15773239453334298
1,110,0.008362728270868591
2,110,-0.324294966458641
3,110,0.2520526710833151
4,110,0.6334560665054557
